Name,WD17NM_x,HPrice,medIncome,Tquantity,CrimRate,FareZone,Perof65years,drivingTime,PTransportTime,TPopulation,AreaKm2,PeoplePerkm2,Av GCSE 2013,GrnSpacem2T,Cemissions,TTprimaryS,TTsecodS,TTGP,TTHosp,TTfoodSt,pcds
Barnet 037A,Childs Hill,1500000,42950,7,58,3,15.7,46,44,1625,0.21,7846,457,0.4,102,6,7,7,22,8,NW11 9RR
Barnet 038D,Childs Hill,1225000,42010,14,219,3,12.8,43,38,1761,0.21,8524,526,3.2,110,9,10,6,20,5,NW11 8AQ
Barnet 030A,Colindale,580000,34160,7,39,4,17.4,55,48,1838,0.2,9086,464,14.7,93,6,11,6,41,6,NW9 6DS
Barnet 030B,Colindale,293500,30150,14,61,4,13.4,58,44,2194,0.23,9372,458,42.5,96,9,10,6,30,8,NW9 5BE
Barnet 036A,Colindale,348750,32750,10,73,4,17,55,52,2168,0.46,4665,463,112.7,97,9,14,10,36,6,NW9 6EE
Barnet 026B,Colindale,348750,28190,1,68,4,6.9,61,47,1779,0.14,12511,498,71.4,93,6,5,5,34,12,NW9 5FJ
Barnet 026C,Colindale,380000,27940,40,55,4,6.1,63,50,1709,0.18,9243,442,71.6,103,10,9,7,38,12,NW9 5TX
Barnet 026D,Colindale,335000,29280,7,62,4,13.2,65,53,1965,0.17,11909,438,52.5,90,10,10,8,39,10,NW9 5GH
Barnet 026E,Colindale,355000,27750,6,43,4,8.6,60,45,1171,0.13,8681,455,25.5,91,5,5,7,27,9,NW9 4BT
Barnet 030D,Colindale,381000,31820,91,53,4,8.4,60,40,2977,0.29,10248,437,83.2,89,10,12,10,22,6,NW9 4AW
Barnet 022A,Coppetts,516250,40200,18,72,4,13.9,49,50,2053,0.18,11406,468,4.1,103,5,10,5,18,5,N10 1HG
Barnet 022B,Coppetts,454975,37090,22,45,4,10,49,51,1606,0.13,12756,471,6.5,96,5,10,7,19,6,N10 2HE
Barnet 015A,Coppetts,406690,38270,16,73,4,10.8,53,55,1528,0.27,5651,517,124.5,91,6,6,6,13,7,N11 3HX
Barnet 015B,Coppetts,662500,40320,12,44,4,16.9,55,59,1809,0.49,3666,504,213,94,7,9,9,17,8,N11 3AT
Barnet 015C,Coppetts,495000,41910,23,69,4,12,53,53,2226,0.3,7359,527,52,99,8,9,8,15,7,N11 3GZ
Barnet 015D,Coppetts,527000,37580,12,63,4,21.1,53,55,2034,0.24,8388,471,53.9,102,7,6,5,10,6,N11 3ND
Barnet 015E,Coppetts,576000,37870,13,85,4,14.2,54,55,1620,0.18,8886,478,17.2,102,8,8,5,12,5,N12 0LL
